chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
4,Chapter 4,2,306,0.2490566037735849,0.4075471698113208,0.4981132075471698,0.44528301886792454,0.0010077396762319438,0.0016490285611068171,0.0020154793524638876,0.0018017163908389299
4,Chapter 4,3,187,0.3018867924528302,0.5031446540880503,0.5471698113207547,0.5471698113207547,0.0007464738342458843,0.0012441230570764737,0.0013529838245706653,0.0013529838245706653
5,Chapter 5,0,842,0.1768901569186876,0.340941512125535,0.3723252496433666,0.3594864479315264,0.0019694484982087502,0.003795953153805576,0.004145371435745837,0.004002427593133912
5,Chapter 5,1,346,0.24381625441696114,0.3321554770318021,0.6007067137809188,0.5335689045936396,0.001115494988869814,0.0015196598399096015,0.0027483209870705566,0.0024411557002803176
5,Chapter 5,2,190,0.2874251497005988,0.5209580838323353,0.7125748502994012,0.6766467065868264,0.0007221164472947634,0.0013088360607217586,0.001790247025584934,0.0016999824696730885
5,Chapter 5,3,229,0.12777777777777777,0.7277777777777777,0.7277777777777777,0.7277777777777777,0.0003869186670075253,0.0022037541468689485,0.0022037541468689485,0.0022037541468689485
6,Chapter 6,0,270,0.2824074074074074,0.4305555555555556,0.4305555555555556,0.4305555555555556,0.0010082511305635627,0.0015371697564329728,0.0015371697564329728,0.0015371697564329728
6,Chapter 6,1,250,0.3541666666666667,0.7447916666666666,0.7447916666666666,0.7447916666666666,0.001170783416638017,0.002462088655577006,0.002462088655577006,0.002462088655577006
6,Chapter 6,2,132,0.14893617021276595,0.39361702127659576,0.39361702127659576,0.39361702127659576,0.0002599578778209227,0.0006870315342410102,0.0006870315342410102,0.0006870315342410102
6,Chapter 6,3,342,0.21951219512195122,0.26480836236933797,0.45993031358885017,0.45993031358885017,0.000992689957576856,0.0011975307424736677,0.0020799218158753176,0.0020799218158753176
7,Chapter 7,0,313,0.2330508474576271,0.461864406779661,0.461864406779661,0.461864406779661,0.0009645481085107937,0.0019115589786850274,0.0019115589786850274,0.0019115589786850274
7,Chapter 7,1,333,0.1598360655737705,0.47950819672131145,0.7254098360655737,0.6475409836065574,0.0007037977657956997,0.0021113932973870985,0.003194159090918944,0.0028512832563005264
7,Chapter 7,2,368,0.1414141414141414,0.28619528619528617,0.468013468013468,0.40404040404040403,0.0006881284748684849,0.0013926409610433622,0.0022773775715885574,0.0019660813567670995
7,Chapter 7,3,254,0.19,0.4,0.4,0.4,0.0006381403221114431,0.0013434533097083014,0.0013434533097083014,0.0013434533097083014
7,Chapter 7,4,147,0.4634146341463415,0.6422764227642277,0.7073170731707317,0.7073170731707317,0.0009007742207641843,0.0012484414638661502,0.0013748659159032285,0.0013748659159032285
8,Chapter 8,0,421,0.2692307692307692,0.33516483516483514,0.33516483516483514,0.33516483516483514,0.0014987722984972608,0.0018658185756802632,0.0018658185756802632,0.0018658185756802632
8,Chapter 8,1,234,0.5728155339805825,0.7669902912621359,0.7669902912621359,0.7669902912621359,0.0017723909098915228,0.0023732013878208524,0.0023732013878208524,0.0023732013878208524
8,Chapter 8,2,468,0.18258426966292135,0.3342696629213483,0.3342696629213483,0.3342696629213483,0.0011298949858811413,0.0020685769741516278,0.0020685769741516278,0.0020685769741516278
8,Chapter 8,3,309,0.22140221402214022,0.5461254612546126,0.6125461254612546,0.5535055350553506,0.0009046265058688986,0.0022314120478099503,0.00250279999957062,0.002261566264672247
8,Chapter 8,4,292,0.252,0.428,0.528,0.528,0.0009729987041493666,0.0016525533546663846,0.002038663951551054,0.002038663951551054
8,Chapter 8,5,145,0.2824427480916031,0.7709923664122137,0.8625954198473282,0.7786259541984732,0.000541535959501791,0.0014782468083697534,0.0016538800925324966,0.0014928829153833154
9,Chapter 9,0,264,0.37815126050420167,0.48739495798319327,0.5042016806722689,0.5042016806722689,0.0013200742175060066,0.001701428991452186,0.0017600989566746751,0.0017600989566746751
9,Chapter 9,1,211,0.44680851063829785,0.5478723404255319,0.6329787234042553,0.5797872340425532,0.0012466161868230614,0.0015285888957473255,0.001766039597999337,0.0016176329090918297
9,Chapter 9,2,177,0.3096774193548387,0.43870967741935485,0.5032258064516129,0.47096774193548385,0.0007247891363526624,0.0010267846098329385,0.0011777823465730765,0.0011022834782030075
9,Chapter 9,3,199,0.2534246575342466,0.6643835616438356,0.6917808219178082,0.6917808219178082,0.0006668540825815867,0.001748239081362538,0.0018203314146146012,0.0018203314146146012
9,Chapter 9,4,193,0.27325581395348836,0.4941860465116279,0.4941860465116279,0.4941860465116279,0.0006973576824507874,0.0012611787874109988,0.0012611787874109988,0.0012611787874109988
9,Chapter 9,5,277,0.3293172690763052,0.4779116465863454,0.4779116465863454,0.4779116465863454,0.0012062106092367247,0.0017504763719411007,0.0017504763719411007,0.0017504763719411007
9,Chapter 9,6,484,0.2052505966587112,0.45584725536992843,0.4892601431980907,0.4606205250596659,0.0013135864488775847,0.002917383857390915,0.003131223511859359,0.0029479323794578357
10,Chapter 10,0,391,0.17094017094017094,0.2792022792022792,0.4017094017094017,0.39316239316239315,0.0008837913791236723,0.0014435259192353313,0.0020769097409406296,0.0020327201719844462
10,Chapter 10,1,335,0.23843416370106763,0.4377224199288256,0.4377224199288256,0.4377224199288256,0.0010561902631351342,0.0019389761547107683,0.0019389761547107683,0.0019389761547107683
10,Chapter 10,2,409,0.15730337078651685,0.3089887640449438,0.3146067415730337,0.3146067415730337,0.0008507269808225397,0.0016710708551871316,0.0017014539616450794,0.0017014539616450794
10,Chapter 10,3,456,0.2107843137254902,0.3700980392156863,0.3700980392156863,0.3700980392156863,0.001270960345103847,0.0022315699082637317,0.0022315699082637317,0.0022315699082637317
10,Chapter 10,4,459,0.19373219373219372,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0011758267913558422,0.002801234414700683,0.002801234414700683,0.002801234414700683
10,Chapter 10,5,752,0.21303656597774245,0.0890302066772655,0.2861685214626391,0.2861685214626391,0.0021183653454534463,0.0008852870100402462,0.002845565389415077,0.002845565389415077
10,Chapter 10,6,210,0.2192513368983957,0.46524064171123,0.6470588235294118,0.5187165775401069,0.0006088221081197352,0.0012918908147906579,0.0017967676849387308,0.0014403840118930322
11,Chapter 11,0,270,0.26359832635983266,0.47280334728033474,0.47280334728033474,0.47280334728033474,0.0009410989357781029,0.0016880028530623116,0.0016880028530623116,0.0016880028530623116
11,Chapter 11,1,98,0.5063291139240507,0.6455696202531646,0.7341772151898734,0.7341772151898734,0.0006561269029772428,0.0008365618012959845,0.0009513840093170021,0.0009513840093170021
11,Chapter 11,2,279,0.17959183673469387,0.39591836734693875,0.4857142857142857,0.4857142857142857,0.000662551535833967,0.0014606249767248817,0.0017919007446418652,0.0017919007446418652
11,Chapter 11,3,218,0.2717948717948718,0.5487179487179488,0.6820512820512821,0.6102564102564103,0.0007834776670891234,0.0015817379316704946,0.0019660854664689327,0.0017591291015774662
11,Chapter 11,4,208,0.28804347826086957,0.43478260869565216,0.5652173913043478,0.5380434782608695,0.0007922281157043988,0.0011958160237047532,0.0015545608308161788,0.0014798223293346318
11,Chapter 11,5,205,0.19411764705882353,0.48823529411764705,0.48823529411764705,0.48823529411764705,0.0005261962505891998,0.0013234632969364721,0.0013234632969364721,0.0013234632969364721
11,Chapter 11,6,496,0.22857142857142856,0.4738095238095238,0.638095238095238,0.5642857142857143,0.0014991065053212992,0.003107522859988943,0.0041850056606886265,0.0037009191850119576
11,Chapter 11,7,617,0.25609756097560976,0.3983739837398374,0.3983739837398374,0.3983739837398374,0.0020893898278627884,0.003250161954453226,0.003250161954453226,0.003250161954453226
11,Chapter 11,8,110,0.2682926829268293,0.6707317073170732,0.8414634146341463,0.7682926829268293,0.0003902387422573086,0.0009755968556432715,0.0012239306007161043,0.0011175018528277474
12,Chapter 12,0,442,0.16991643454038996,0.43454038997214484,0.520891364902507,0.520891364902507,0.0009930852361205455,0.00253969339073451,0.003044376051713803,0.003044376051713803
12,Chapter 12,1,467,0.2202970297029703,0.28217821782178215,0.28217821782178215,0.28217821782178215,0.0013603616860773694,0.0017424857552002257,0.0017424857552002257,0.0017424857552002257
12,Chapter 12,2,516,0.21205357142857142,0.3080357142857143,0.3861607142857143,0.34151785714285715,0.0014468521785780401,0.0021017431646712585,0.002634793967305273,0.0023301935086572642
12,Chapter 12,3,238,0.21649484536082475,0.422680412371134,0.4793814432989691,0.4793814432989691,0.0006813235288905442,0.001330203080214872,0.001508644956829062,0.001508644956829062
12,Chapter 12,4,323,0.26394052044609667,0.4052044609665427,0.4052044609665427,0.4052044609665427,0.0011272946883887714,0.0017306355075264236,0.0017306355075264236,0.0017306355075264236
12,Chapter 12,5,317,0.2537313432835821,0.6194029850746269,0.6417910447761194,0.6417910447761194,0.0010635606249291979,0.002596339172621277,0.0026901827571738537,0.0026901827571738537
12,Chapter 12,6,129,0.3153153153153153,0.4144144144144144,0.6036036036036037,0.5675675675675675,0.0005378530621172041,0.0007068925959254682,0.0010296044331957908,0.0009681355118109673
13,Chapter 13,0,148,0.2682926829268293,0.4715447154471545,0.7967479674796748,0.6178861788617886,0.0005250484895825607,0.0009228124968420764,0.0015592349084573014,0.0012092025820689277
13,Chapter 13,1,194,0.30357142857142855,0.47023809523809523,0.47023809523809523,0.47023809523809523,0.0007787382268380866,0.001206280782749193,0.001206280782749193,0.001206280782749193
13,Chapter 13,2,318,0.23741007194244604,0.41007194244604317,0.5935251798561151,0.4712230215827338,0.0009982863417038828,0.0017243127720339793,0.0024957158542597067,0.0019814471327758887
13,Chapter 13,3,614,0.14481409001956946,0.2191780821917808,0.2857142857142857,0.2602739726027397,0.0011757312468200836,0.0017794851303222887,0.002319685973455841,0.0021131385922577178
13,Chapter 13,4,174,0.2945205479452055,0.4931506849315068,0.6917808219178082,0.6506849315068494,0.0006776317052662544,0.0011346391343993096,0.001591646563532365,0.0014970933023324225
13,Chapter 13,5,281,0.21052631578947367,0.4291497975708502,0.5910931174089069,0.44129554655870445,0.0007822428098384432,0.0015945718815937495,0.0021962971199310137,0.0016397012744690444
13,Chapter 13,6,504,0.19908466819221968,0.3501144164759725,0.3501144164759725,0.3501144164759725,0.0013267748230618931,0.0023332936543502257,0.0023332936543502257,0.0023332936543502257
14,Chapter 14,0,390,0.19003115264797507,0.411214953271028,0.6105919003115264,0.470404984423676,0.000979982407276734,0.002120617668205391,0.0031487959315777024,0.0024258580901440462
14,Chapter 14,1,191,0.16556291390728478,0.36423841059602646,0.46357615894039733,0.46357615894039733,0.00041814345008715775,0.000919915590191747,0.0011708016602440417,0.0011708016602440417
14,Chapter 14,2,342,0.26877470355731226,0.541501976284585,0.541501976284585,0.541501976284585,0.0012154675457726285,0.002448809614277207,0.002448809614277207,0.002448809614277207
